pintu_masuk,bulan,tahun_2009,tahun_2010,growth
"Bandar Udara Soekarno-Hatta, Jakarta",Januari,92136,117422,27.44
"Bandar Udara Soekarno-Hatta, Jakarta",Februari,97985,121727,24.23
"Bandar Udara Soekarno-Hatta, Jakarta",Maret,121699,183449,50.74
"Bandar Udara Soekarno-Hatta, Jakarta",April,96709,173906,79.82
"Bandar Udara Soekarno-Hatta, Jakarta",Mei,119231,183218,53.87
"Bandar Udara Soekarno-Hatta, Jakarta",Juni,125111,155951,24.65
"Bandar Udara Soekarno-Hatta, Jakarta",Juli,150924,180353,19.5
"Bandar Udara Soekarno-Hatta, Jakarta",Agustus,123405,142050,15.11
"Bandar Udara Soekarno-Hatta, Jakarta",September,87047,125439,44.1
"Bandar Udara Soekarno-Hatta, Jakarta",Oktober,117911,0,0
"Bandar Udara Soekarno-Hatta, Jakarta",November,407900,0,0
"Bandar Udara Soekarno-Hatta, Jakarta",Desember,0,0,0
"Bandar Udara Ngurah Rai, Denpasar",Januari,173919,178958,2.9
"Bandar Udara Ngurah Rai, Denpasar",Februari,146192,191362,30.9
"Bandar Udara Ngurah Rai, Denpasar",Maret,168036,191125,13.74
"Bandar Udara Ngurah Rai, Denpasar",April,188189,184230,-2.1
"Bandar Udara Ngurah Rai, Denpasar",Mei,190697,199401,4.56
"Bandar Udara Ngurah Rai, Denpasar",Juni,200503,224695,12.07
"Bandar Udara Ngurah Rai, Denpasar",Juli,235042,252110,7.26
"Bandar Udara Ngurah Rai, Denpasar",Agustus,232164,243222,4.76
"Bandar Udara Ngurah Rai, Denpasar",September,218245,232516,6.54
"Bandar Udara Ngurah Rai, Denpasar",Oktober,225606,229651,1.79
"Bandar Udara Ngurah Rai, Denpasar",November,184622,196856,6.63
"Bandar Udara Ngurah Rai, Denpasar",Desember,221604,222497,0.4
"Bandar Udara Polonia, Medan",Januari,11248,11365,1.04
"Bandar Udara Polonia, Medan",Februari,9133,12625,38.23
"Bandar Udara Polonia, Medan",Maret,13617,14000,2.81
"Bandar Udara Polonia, Medan",April,11481,12326,7.36
"Bandar Udara Polonia, Medan",Mei,13031,13298,2.05
"Bandar Udara Polonia, Medan",Juni,14166,15499,9.41
"Bandar Udara Polonia, Medan",Juli,13866,15244,9.94
"Bandar Udara Polonia, Medan",Agustus,12043,11447,-4.95
"Bandar Udara Polonia, Medan",September,9702,12127,24.99
"Bandar Udara Polonia, Medan",Oktober,11861,13520,13.99
"Bandar Udara Polonia, Medan",November,12042,14102,17.11
"Bandar Udara Polonia, Medan",Desember,15983,16857,5.47
"Bandar Udara Hang Nadim, Kepulauan Riau",Januari,81601,79560,-250
"Bandar Udara Hang Nadim, Kepulauan Riau",Februari,68964,80966,17.4
"Bandar Udara Hang Nadim, Kepulauan Riau",Maret,87154,81732,-6.22
"Bandar Udara Hang Nadim, Kepulauan Riau",April,77788,77178,-0.78
"Bandar Udara Hang Nadim, Kepulauan Riau",Mei,79969,84617,5.81
"Bandar Udara Hang Nadim, Kepulauan Riau",Juni,84521,92719,9.7
"Bandar Udara Hang Nadim, Kepulauan Riau",Juli,70864,86716,22.37
"Bandar Udara Hang Nadim, Kepulauan Riau",Agustus,78422,76809,-2.06
"Bandar Udara Hang Nadim, Kepulauan Riau",September,66105,74511,12.72
"Bandar Udara Hang Nadim, Kepulauan Riau",Oktober,72195,77183,6.91
"Bandar Udara Hang Nadim, Kepulauan Riau",November,78764,85307,8.31
"Bandar Udara Hang Nadim, Kepulauan Riau",Desember,105037,110148,4.87
"Bandar Udara Sam Ratulangi, Manado",Januari,1961,1841,-6.12
"Bandar Udara Sam Ratulangi, Manado",Februari,1956,2308,18
"Bandar Udara Sam Ratulangi, Manado",Maret,2274,1602,-29.55
"Bandar Udara Sam Ratulangi, Manado",April,2538,1445,-43.07
"Bandar Udara Sam Ratulangi, Manado",Mei,2543,1602,-37
